Title,Rarity,Edge,Mintage,Engraver,Times Issued,Composition,Currency,Demonetized,Diameter,Orientation,Shape,Type,Issuer,Technique,Thickness,Weight,Year,Historical Figure,Century
10 Centimes - Albert I French text,5,Plain,6520000.0,1,7,Bimetallic,Franc (1832-2001),1,22.0,Coin alignment ↑↓,1,Standard circulation coin,Belgium,Milled,1.42,4.0,1911.0,1,unknown
1 Cent - George V,7,Smooth,20165000.0,1,3,Bronze,Dollar (1845-1939),1,25.35,Medal alignment ↑↑,1,Standard circulation coin,Straits Settlements,Milled,1.9,5.85,1919.0,1,unknown
1 Centavo,15,Smooth,51000.0,0,12,Copper,Peso (1863-1992),1,19.5,Coin alignment ↑↓,0,Standard circulation coin,Mexico,Milled,1.5,2.61,1899.0,0,unknown
"¼ Dollar ""Washington Quarter"" Alaska",4,Reeded,254000000.0,1,5,Bimetallic,Dollar (1785-date),0,24.26,Coin alignment ↑↓,0,Circulating commemorative coin,United States,Milled,1.75,5.67,2008,0,20
10 Colones 25 Years Central Bank,21,Reeded,495115.0,0,1,Nickel,Colón (1896-date),1,33.8,Coin alignment ↑↓,0,Circulating commemorative coin,Costa Rica,Milled,1.8,16.1,1975,0,19
20 Fillér - Miklós Horthy,9,Smooth,25000000.0,1,5,Bimetallic,Pengő (1927-1946),1,21.0,Medal alignment ↑↑,0,Standard circulation coin,Hungary,Milled,1.6,4.0,1926.0,1,unknown
25 Centavos,11,Reeded,9300000.0,0,8,Brass,Sol (1863-1985),1,21.3,Coin alignment ↑↓,0,Standard circulation coin,Peru,Milled,1.8,3.2,1966.0,0,unknown
50 Cents - Elizabeth II 2nd Portrait - Dodecagonal type,4,Smooth,14351.0,0,43,Bimetallic,Dollar (1966-date),0,31.51,Medal alignment ↑↑,1,Standard circulation coin,Australia,Milled,3.0,15.55,1969.0,1,unknown
10 Cents - Elizabeth II 2nd portrait,7,Plain,2198000.0,1,6,Bimetallic,Dollar (1966-date),0,23.5,Medal alignment ↑↑,1,Standard circulation coin,The Bahamas,Milled,1.7,5.54,1966.0,1,unknown
"1 Cent ""Lincoln - Wheat Ears Reverse""",3,Smooth,27995000.0,1,166,Bronze,Dollar (1785-date),0,19.0,Coin alignment ↑↓,0,Standard circulation coin,United States,Milled,1.4,3.11,1909.0,0,unknown
"¼ Dollar ""Washington Quarter"" Oklahoma",5,Reeded,194600000.0,1,5,Bimetallic,Dollar (1785-date),0,24.26,Coin alignment ↑↓,0,Circulating commemorative coin,United States,Milled,1.75,5.67,2008,0,20
40 Shillings Independence,12,Special,-1.0,0,0,Bimetallic,Shilling (1966-date),0,27.5,Medal alignment ↑↑,0,Circulating commemorative coin,Kenya,Milled,2.5,11.0,2003,0,20
1 Franc - Napoleon I,51,Special,326224.0,1,38,Silver,Franc (1795-1959),1,23.0,Coin alignment ↑↓,0,Standard circulation coin,France,Milled,1.8,5.0,12.0,1,unknown
1 Cent - Elizabeth II 1st portrait,27,Plain,30000.0,1,4,Bimetallic,Rupee (1914-date),1,17.8,Medal alignment ↑↑,0,Standard circulation coin,Seychelles,Milled,1.8,2.0,1959.0,1,unknown
50 Sen - Norodom Suramarit,15,Plain,3399000.0,1,1,Other,First riel (1953-1975),1,31.2,Coin alignment ↑↓,0,Standard circulation coin,Cambodia,Milled,2.2,3.9,1959,1,19
50 Cents - Elizabeth II 4th Portrait - Remembrance - End of World War II,8,Smooth,20000.0,0,7,Bimetallic,Dollar (1966-date),0,31.51,Medal alignment ↑↑,1,Circulating commemorative coin,Australia,Milled,3.0,15.55,2005,1,20
"Bagattino - István Babonich Bán, as vassal of IV. László",97,Smooth,-1.0,0,0,Silver,Denar (1216-1364),1,9.0,unknown,1,Standard circulation coin,Province of Slavonia,Hammered,1.8,0.25,1280.0,0,unknown
2 Denier - Philip the Good,94,Special,-1.0,0,0,Bimetallic,Gros (1071-1506),1,26.0,Coin alignment ↑↓,1,Standard circulation coin,County of Hainaut,Hammered,1.8,2.27,1434.0,1,unknown
50 Pfennig - Crailsheim,77,Plain,50360.0,0,1,Zinc,"Mark (notgeld, 1914-1924)",1,23.1,Medal alignment ↑↑,1,Standard circulation coin,City of Crailsheim,Milled,1.2,3.2,1920,0,19
500 Pesetas / 25 Dirham,78,Reeded,-1.0,0,0,Brass,500 Pesetas / 25 Dirham,-1,22.0,Medal alignment ↑↑,0,Other,Dakhla,Milled,4.0,12.12,2006,0,20
2 Dollars - Elizabeth II 4th Portrait - Year of the Mouse - Silver Bullion Coin,89,Reeded,9126.0,0,3,Silver,Dollar (1966-date),0,55.1,Medal alignment ↑↑,0,Non-circulating coin,Australia,Milled,3.0,62.207,2008,1,20
2 Rupees,7,Reeded,50000000.0,0,5,Nickel,Rupee (1972-date),0,28.5,Medal alignment ↑↑,0,Standard circulation coin,Sri Lanka,Milled,1.67,7.0,2005.0,0,unknown
1 Forint - Ferenc József,18,Special,567922.0,1,12,Silver,"Austro-Hungarian forint (decimalized, 1857-1892)",1,29.0,Medal alignment ↑↑,0,Standard circulation coin,Hungary,Milled,2.0,12.3457,1870.0,1,unknown
20 Stotinki - Ferdinand I,8,Smooth,10000000.0,0,3,Bimetallic,First lev (1881-1952),1,21.0,Coin alignment ↑↓,0,Standard circulation coin,Bulgaria,Milled,1.7,5.0,1906.0,1,unknown
1 Lev - Boris III,9,Reeded,35000000.0,0,2,Bimetallic,First lev (1881-1952),1,20.0,Coin alignment ↑↓,0,Standard circulation coin,Bulgaria,Milled,1.2,3.0,1925,1,19
10 Centavos Pedro I,3,Special,141540000.0,0,27,Bronze,Real (1994-date),0,20.0,Coin alignment ↑↓,0,Standard circulation coin,Brazil,Milled,2.23,4.8,1998.0,0,unknown
